symboling,normalized-losses,make,num-of-doors,body-style,drive-wheels,engine-location,wheel-base,length,width,height,curb-weight,engine-type,num-of-cylinders,engine-size,fuel-system,bore,stroke,compression-ratio,horsepower,peak-rpm,city-L/100km,highway-L/100km,price,hrspwr-binned,fueltyp-diesel(0)/gas(1),aspiration-std(1)/turbo(0)
0,128.0,nissan,four,sedan,fwd,front,100.4,0.61,0.29,0.54,3095,ohcv,six,181,mpfi,3.43,3.27,9.0,152.0,5200.0,13.82,10.68,13499.0,Medium,0,1
0,108.0,nissan,four,wagon,fwd,front,100.4,0.84,0.29,0.95,3296,ohcv,six,181,mpfi,3.43,3.27,9.0,152.0,5200.0,13.82,10.68,14399.0,Medium,0,1
0,108.0,nissan,four,sedan,fwd,front,100.4,0.84,0.29,0.54,3060,ohcv,six,181,mpfi,3.43,3.27,9.0,152.0,5200.0,12.37,9.4,13499.0,Medium,0,1
3,194.0,nissan,two,hatchback,rwd,front,91.3,-0.28,0.96,-1.66,3071,ohcv,six,181,mpfi,3.43,3.27,9.0,160.0,5200.0,12.37,9.4,17199.0,Medium,0,1
3,194.0,nissan,two,hatchback,rwd,front,91.3,-0.28,0.96,-1.66,3139,ohcv,six,181,mpfi,3.43,3.27,7.8,200.0,5200.0,13.82,10.22,19699.0,High,0,0
1,231.0,nissan,two,hatchback,rwd,front,99.2,0.35,0.96,-1.66,3139,ohcv,six,181,mpfi,3.43,3.27,9.0,160.0,5200.0,12.37,9.4,18399.0,Medium,0,1
0,161.0,peugot,four,sedan,rwd,front,107.9,1.01,1.19,1.2,3020,l,four,120,mpfi,3.46,3.19,8.4,97.0,5000.0,12.37,9.79,11900.0,Low,0,1
0,161.0,peugot,four,sedan,rwd,front,107.9,1.01,1.19,1.2,3197,l,four,152,idi,3.7,3.52,21.0,95.0,4150.0,8.39,7.12,13200.0,Low,1,0
0,122.0,peugot,four,wagon,rwd,front,114.2,2.0,1.19,2.02,3230,l,four,120,mpfi,3.46,3.19,8.4,97.0,5000.0,12.37,9.79,12440.0,Low,0,1
0,122.0,peugot,four,wagon,rwd,front,114.2,2.0,1.19,2.02,3430,l,four,152,idi,3.7,3.52,21.0,95.0,4150.0,9.4,9.4,13860.0,Low,1,0
0,161.0,peugot,four,sedan,rwd,front,107.9,1.01,1.19,1.2,3075,l,four,120,mpfi,3.46,2.19,8.4,95.0,5000.0,12.37,9.79,15580.0,Low,0,1
0,161.0,peugot,four,sedan,rwd,front,107.9,1.01,1.19,1.2,3252,l,four,152,idi,3.7,3.52,21.0,95.0,4150.0,8.39,7.12,16900.0,Low,1,0
0,122.0,peugot,four,wagon,rwd,front,114.2,2.0,1.19,1.2,3285,l,four,120,mpfi,3.46,2.19,8.4,95.0,5000.0,12.37,9.79,16695.0,Low,0,1
0,122.0,peugot,four,wagon,rwd,front,114.2,2.0,1.19,2.02,3485,l,four,152,idi,3.7,3.52,21.0,95.0,4150.0,9.4,9.4,17075.0,Low,1,0
0,161.0,peugot,four,sedan,rwd,front,107.9,1.01,1.19,1.2,3075,l,four,120,mpfi,3.46,3.19,8.4,97.0,5000.0,12.37,9.79,16630.0,Low,0,1
0,161.0,peugot,four,sedan,rwd,front,107.9,1.01,1.19,1.2,3252,l,four,152,idi,3.7,3.52,21.0,95.0,4150.0,8.39,7.12,17950.0,Low,1,0
0,161.0,peugot,four,sedan,rwd,front,108.0,1.01,1.15,0.91,3130,l,four,134,mpfi,3.61,3.21,7.0,142.0,5600.0,13.06,9.79,18150.0,Medium,0,0
1,119.0,plymouth,two,hatchback,fwd,front,93.7,-1.37,-0.99,-1.21,1918,ohc,four,90,2bbl,2.97,3.23,9.4,68.0,5500.0,6.35,5.73,5572.0,Low,0,1
1,119.0,plymouth,two,hatchback,fwd,front,93.7,-1.37,-0.99,-1.21,2128,ohc,four,98,spdi,3.03,3.39,7.6,102.0,5500.0,9.79,7.83,7957.0,Low,0,0
1,154.0,plymouth,four,hatchback,fwd,front,93.7,-1.37,-0.99,-1.29,1967,ohc,four,90,2bbl,2.97,3.23,9.4,68.0,5500.0,7.58,6.18,6229.0,Low,0,1
1,154.0,plymouth,four,sedan,fwd,front,93.7,-0.56,-0.99,-1.21,1989,ohc,four,90,2bbl,2.97,3.23,9.4,68.0,5500.0,7.58,6.18,6692.0,Low,0,1
1,154.0,plymouth,four,sedan,fwd,front,93.7,-0.56,-0.99,-1.21,2191,ohc,four,98,2bbl,2.97,3.23,9.4,68.0,5500.0,7.58,6.18,7609.0,Low,0,1
-1,74.0,plymouth,four,wagon,fwd,front,103.3,0.03,-0.61,2.46,2535,ohc,four,122,2bbl,3.35,3.46,8.5,88.0,5000.0,9.79,7.83,8921.0,Low,0,1
3,122.0,plymouth,two,hatchback,rwd,front,95.9,-0.08,0.2,-1.46,2818,ohc,four,156,spdi,3.59,3.86,7.0,145.0,5000.0,12.37,9.79,12764.0,Medium,0,0
3,186.0,porsche,two,hatchback,rwd,front,94.5,-0.43,1.15,-1.46,2778,ohc,four,151,mpfi,3.94,3.11,9.5,143.0,5500.0,12.37,8.7,22018.0,Medium,0,1
3,122.0,porsche,two,hardtop,rwd,rear,89.5,-0.43,-0.42,-0.89,2756,ohcf,six,194,mpfi,3.74,2.9,9.5,207.0,5900.0,13.82,9.4,32528.0,High,0,1
3,122.0,porsche,two,hardtop,rwd,rear,89.5,-0.43,-0.42,-0.89,2756,ohcf,six,194,mpfi,3.74,2.9,9.5,207.0,5900.0,13.82,9.4,34028.0,High,0,1
3,122.0,porsche,two,convertible,rwd,rear,89.5,-0.43,-0.42,-0.89,2800,ohcf,six,194,mpfi,3.74,2.9,9.5,207.0,5900.0,13.82,9.4,37028.0,High,0,1
0,122.0,renault,four,wagon,fwd,front,96.1,0.59,0.29,0.59,2579,ohc,four,132,mpfi,3.46,3.9,8.7,104.25615763546799,5125.369458128079,10.22,7.58,9295.0,Low,0,1
2,122.0,renault,two,hatchback,fwd,front,96.1,0.21,0.34,-1.33,2460,ohc,four,132,mpfi,3.46,3.9,8.7,104.25615763546799,5125.369458128079,10.22,7.58,9895.0,Low,0,1
3,150.0,saab,two,hatchback,fwd,front,99.1,1.01,0.29,0.95,2658,ohc,four,121,mpfi,3.54,3.07,9.31,110.0,5250.0,11.19,8.39,11850.0,Low,0,1
2,104.0,saab,four,sedan,fwd,front,99.1,1.01,0.29,0.95,2695,ohc,four,121,mpfi,3.54,3.07,9.3,110.0,5250.0,11.19,8.39,12170.0,Low,0,1
3,150.0,saab,two,hatchback,fwd,front,99.1,1.01,0.29,0.95,2707,ohc,four,121,mpfi,2.54,2.07,9.3,110.0,5250.0,11.19,8.39,15040.0,Low,0,1
2,104.0,saab,four,sedan,fwd,front,99.1,1.01,0.29,0.95,2758,ohc,four,121,mpfi,3.54,3.07,9.3,110.0,5250.0,11.19,8.39,15510.0,Low,0,1
3,150.0,saab,two,hatchback,fwd,front,99.1,1.01,0.29,0.95,2808,dohc,four,121,mpfi,3.54,3.07,9.0,160.0,5500.0,12.37,9.04,18150.0,Medium,0,0
2,104.0,saab,four,sedan,fwd,front,99.1,1.01,0.29,0.95,2847,dohc,four,121,mpfi,3.54,3.07,9.0,160.0,5500.0,12.37,9.04,18620.0,Medium,0,0
2,83.0,subaru,two,hatchback,fwd,front,93.7,-1.4,-1.18,-0.03,2050,ohcf,four,97,2bbl,3.62,2.36,9.0,69.0,4900.0,7.58,6.53,5118.0,Low,0,1
2,83.0,subaru,two,hatchback,fwd,front,93.7,-1.32,-1.09,-0.03,2120,ohcf,four,108,2bbl,3.62,2.64,8.7,73.0,4400.0,9.04,7.58,7053.0,Low,0,1
2,83.0,subaru,two,hatchback,4wd,front,93.3,-1.37,-0.99,0.79,2240,ohcf,four,108,2bbl,3.62,2.64,8.7,73.0,4400.0,9.04,7.58,7603.0,Low,0,1
0,102.0,subaru,four,sedan,fwd,front,97.2,-0.18,-0.23,-0.52,2145,ohcf,four,108,2bbl,3.62,2.64,9.5,82.0,4800.0,7.34,6.35,7126.0,Low,0,1
0,102.0,subaru,four,sedan,fwd,front,97.2,-0.18,-0.23,-0.52,2190,ohcf,four,108,2bbl,3.62,2.64,9.5,82.0,4400.0,8.39,7.12,7775.0,Low,0,1
0,102.0,subaru,four,sedan,fwd,front,97.2,-0.18,-0.23,-0.52,2340,ohcf,four,108,mpfi,3.62,2.64,9.0,94.0,5200.0,9.04,7.34,9960.0,Low,0,1
0,102.0,subaru,four,sedan,4wd,front,97.0,-0.18,-0.23,0.22,2385,ohcf,four,108,2bbl,3.62,2.64,9.0,82.0,4800.0,9.79,9.4,9233.0,Low,0,1
0,102.0,subaru,four,sedan,4wd,front,97.0,-0.18,-0.23,0.22,2510,ohcf,four,108,mpfi,3.62,2.64,7.7,111.0,4800.0,9.79,8.1,11259.0,Low,0,0
0,89.0,subaru,four,wagon,fwd,front,97.0,-0.06,-0.23,-0.31,2290,ohcf,four,108,2bbl,3.62,2.64,9.0,82.0,4800.0,8.39,7.34,7463.0,Low,0,1
0,89.0,subaru,four,wagon,fwd,front,97.0,-0.06,-0.23,-0.31,2455,ohcf,four,108,mpfi,3.62,2.64,9.0,94.0,5200.0,9.4,7.58,10198.0,Low,0,1
0,85.0,subaru,four,wagon,4wd,front,96.9,-0.05,-0.23,0.46,2420,ohcf,four,108,2bbl,3.62,2.64,9.0,82.0,4800.0,10.22,8.1,8013.0,Low,0,1
0,85.0,subaru,four,wagon,4wd,front,96.9,-0.05,-0.23,0.46,2650,ohcf,four,108,mpfi,3.62,2.64,7.7,111.0,4800.0,10.22,10.22,11694.0,Low,0,0
1,87.0,toyota,two,hatchback,fwd,front,95.7,-1.26,-1.09,0.3,1985,ohc,four,92,2bbl,3.05,3.03,9.0,62.0,4800.0,6.71,6.03,5348.0,Low,0,1
1,87.0,toyota,two,hatchback,fwd,front,95.7,-1.26,-1.09,0.3,2040,ohc,four,92,2bbl,3.05,3.03,9.0,62.0,4800.0,7.58,6.18,6338.0,Low,0,1
1,74.0,toyota,four,hatchback,fwd,front,95.7,-1.26,-1.09,0.3,2015,ohc,four,92,2bbl,3.05,3.03,9.0,62.0,4800.0,7.58,6.18,6488.0,Low,0,1
0,77.0,toyota,four,wagon,fwd,front,95.7,-0.37,-1.09,2.18,2280,ohc,four,92,2bbl,3.05,3.03,9.0,62.0,4800.0,7.58,6.35,6918.0,Low,0,1
0,81.0,toyota,four,wagon,4wd,front,95.7,-0.37,-1.09,2.18,2290,ohc,four,92,2bbl,3.05,3.03,9.0,62.0,4800.0,8.7,7.34,7898.0,Low,0,1
0,91.0,toyota,four,wagon,4wd,front,95.7,-0.37,-1.09,2.18,3110,ohc,four,92,2bbl,3.05,3.03,9.0,62.0,4800.0,8.7,7.34,8778.0,Low,0,1
0,91.0,toyota,four,sedan,fwd,front,95.7,-0.64,-0.71,-0.31,2081,ohc,four,98,2bbl,3.19,3.03,9.0,70.0,4800.0,7.83,6.35,6938.0,Low,0,1
0,91.0,toyota,four,hatchback,fwd,front,95.7,-0.64,-0.71,-0.39,2109,ohc,four,98,2bbl,3.19,3.03,9.0,70.0,4800.0,7.83,6.35,7198.0,Low,0,1
0,91.0,toyota,four,sedan,fwd,front,95.7,-0.64,-0.71,-0.31,2275,ohc,four,110,idi,3.27,3.35,22.5,56.0,4500.0,6.91,6.53,7898.0,Low,1,1
0,91.0,toyota,four,hatchback,fwd,front,95.7,-0.64,-0.71,-0.39,2275,ohc,four,110,idi,3.27,3.35,22.5,56.0,4500.0,6.18,5.0,7788.0,Low,1,1
0,91.0,toyota,four,sedan,fwd,front,95.7,-0.64,-0.71,-0.31,2094,ohc,four,98,2bbl,3.19,3.03,9.0,70.0,4800.0,6.18,5.0,7738.0,Low,0,1
0,91.0,toyota,four,hatchback,fwd,front,95.7,-0.64,-0.71,-0.39,2122,ohc,four,98,2bbl,3.19,3.03,9.0,70.0,4800.0,8.39,6.91,8358.0,Low,0,1
0,91.0,toyota,four,sedan,fwd,front,95.7,-0.64,-0.71,-0.39,2140,ohc,four,98,2bbl,3.19,3.03,9.0,70.0,4800.0,8.39,6.91,9258.0,Low,0,1
1,168.0,toyota,two,sedan,rwd,front,94.5,-0.45,-0.9,-0.48,2169,ohc,four,98,2bbl,3.19,3.03,9.0,70.0,4800.0,8.1,6.91,8058.0,Low,0,1
1,168.0,toyota,two,hatchback,rwd,front,94.5,-0.45,-0.9,-0.48,2204,ohc,four,98,2bbl,3.19,3.03,9.0,70.0,4800.0,8.1,6.91,8238.0,Low,0,1
1,168.0,toyota,two,sedan,rwd,front,94.5,-0.45,-0.9,-0.48,2265,dohc,four,98,mpfi,3.24,3.08,9.4,112.0,6600.0,9.04,8.1,9298.0,Low,0,1
1,168.0,toyota,two,hatchback,rwd,front,94.5,-0.45,-0.9,-0.48,2300,dohc,four,98,mpfi,3.24,3.08,9.4,112.0,6600.0,9.04,8.1,9538.0,Low,0,1
2,134.0,toyota,two,hardtop,rwd,front,98.4,0.16,-0.14,-0.72,2540,ohc,four,146,mpfi,3.62,3.5,9.3,116.0,4800.0,9.79,7.83,8449.0,Low,0,1
2,134.0,toyota,two,hardtop,rwd,front,98.4,0.16,-0.14,-0.72,2536,ohc,four,146,mpfi,3.62,3.5,9.3,116.0,4800.0,9.79,7.83,9639.0,Low,0,1
2,134.0,toyota,two,hatchback,rwd,front,98.4,0.16,-0.14,-0.72,2551,ohc,four,146,mpfi,3.62,3.5,9.3,116.0,4800.0,9.79,7.83,9989.0,Low,0,1
2,134.0,toyota,two,hardtop,rwd,front,98.4,0.16,-0.14,-0.72,2679,ohc,four,146,mpfi,3.62,3.5,9.3,116.0,4800.0,9.79,7.83,11199.0,Low,0,1
2,134.0,toyota,two,hatchback,rwd,front,98.4,0.16,-0.14,-0.72,2714,ohc,four,146,mpfi,3.62,3.5,9.3,116.0,4800.0,9.79,7.83,11549.0,Low,0,1
2,134.0,toyota,two,convertible,rwd,front,98.4,0.16,-0.14,-0.31,2975,ohc,four,146,mpfi,3.62,3.5,9.3,116.0,4800.0,9.79,7.83,17669.0,Low,0,1
-1,65.0,toyota,four,sedan,fwd,front,102.4,0.11,0.29,0.46,2326,ohc,four,122,mpfi,3.31,3.54,8.7,92.0,4200.0,8.1,6.91,8948.0,Low,0,1
-1,65.0,toyota,four,sedan,fwd,front,102.4,0.11,0.29,0.46,2480,ohc,four,110,idi,3.27,3.35,22.5,73.0,4500.0,7.83,7.12,10698.0,Low,1,0
-1,65.0,toyota,four,hatchback,fwd,front,102.4,0.11,0.29,0.05,2414,ohc,four,122,mpfi,3.31,3.54,8.7,92.0,4200.0,8.7,7.34,9988.0,Low,0,1
-1,65.0,toyota,four,sedan,fwd,front,102.4,0.11,0.29,0.46,2414,ohc,four,122,mpfi,3.31,3.54,8.7,92.0,4200.0,8.7,7.34,10898.0,Low,0,1
-1,65.0,toyota,four,hatchback,fwd,front,102.4,0.11,0.29,0.05,2458,ohc,four,122,mpfi,3.31,3.54,8.7,92.0,4200.0,8.7,7.34,11248.0,Low,0,1
3,197.0,toyota,two,hatchback,rwd,front,102.9,0.75,0.86,-0.72,2976,dohc,six,171,mpfi,3.27,3.35,9.3,161.0,5200.0,11.75,9.79,16558.0,Medium,0,1
3,197.0,toyota,two,hatchback,rwd,front,102.9,0.75,0.86,-0.72,3016,dohc,six,171,mpfi,3.27,3.35,9.3,161.0,5200.0,12.37,9.79,15998.0,Medium,0,1
-1,90.0,toyota,four,sedan,rwd,front,104.5,1.1,0.29,0.14,3131,dohc,six,171,mpfi,3.27,3.35,9.2,156.0,5200.0,11.75,9.79,15690.0,Medium,0,1
-1,122.0,toyota,four,wagon,rwd,front,104.5,1.1,0.29,0.14,3151,dohc,six,161,mpfi,3.27,3.35,9.2,156.0,5200.0,12.37,9.79,15750.0,Medium,0,1
2,122.0,volkswagen,two,sedan,fwd,front,97.3,-0.2,-0.19,0.79,2261,ohc,four,97,idi,3.01,3.4,23.0,52.0,4800.0,6.35,5.11,7775.0,Low,1,1
2,122.0,volkswagen,two,sedan,fwd,front,97.3,-0.2,-0.19,0.79,2209,ohc,four,109,mpfi,3.19,3.4,9.0,85.0,5250.0,8.7,6.91,7975.0,Low,0,1
2,94.0,volkswagen,four,sedan,fwd,front,97.3,-0.2,-0.19,0.79,2264,ohc,four,97,idi,3.01,3.4,23.0,52.0,4800.0,6.35,5.11,7995.0,Low,1,1
2,94.0,volkswagen,four,sedan,fwd,front,97.3,-0.2,-0.19,0.79,2212,ohc,four,109,mpfi,3.19,3.4,9.0,85.0,5250.0,8.7,6.91,8195.0,Low,0,1
2,94.0,volkswagen,four,sedan,fwd,front,97.3,-0.2,-0.19,0.79,2275,ohc,four,109,mpfi,3.19,3.4,9.0,85.0,5250.0,8.7,6.91,8495.0,Low,0,1
2,94.0,volkswagen,four,sedan,fwd,front,97.3,-0.2,-0.19,0.79,2319,ohc,four,97,idi,3.01,3.4,23.0,68.0,4500.0,6.35,5.6,9495.0,Low,1,0
2,94.0,volkswagen,four,sedan,fwd,front,97.3,-0.2,-0.19,0.79,2300,ohc,four,109,mpfi,3.19,3.4,10.0,100.0,5500.0,9.04,7.34,9995.0,Low,0,1
3,122.0,volkswagen,two,convertible,fwd,front,94.5,-1.21,-0.8,0.75,2254,ohc,four,109,mpfi,3.19,3.4,8.5,90.0,5500.0,9.79,8.1,11595.0,Low,0,1
3,256.0,volkswagen,two,hatchback,fwd,front,94.5,-0.69,-0.9,-0.97,2221,ohc,four,109,mpfi,3.19,3.4,8.5,90.0,5500.0,9.79,8.1,9980.0,Low,0,1
0,122.0,volkswagen,four,sedan,fwd,front,100.4,0.49,0.48,0.54,2661,ohc,five,136,mpfi,3.19,3.4,8.5,110.0,5500.0,12.37,9.79,13295.0,Low,0,1
0,122.0,volkswagen,four,sedan,fwd,front,100.4,0.49,0.48,0.54,2579,ohc,four,97,idi,3.01,3.4,23.0,68.0,4500.0,7.12,6.18,13845.0,Low,1,0
0,122.0,volkswagen,four,wagon,fwd,front,100.4,0.72,0.48,0.54,2563,ohc,four,109,mpfi,3.19,3.4,9.0,88.0,5500.0,9.4,7.58,12290.0,Low,0,1
-2,103.0,volvo,four,sedan,rwd,front,104.3,1.18,0.62,0.99,2912,ohc,four,141,mpfi,3.78,3.15,9.5,114.0,5400.0,10.22,8.39,12940.0,Low,0,1
-1,74.0,volvo,four,wagon,rwd,front,104.3,1.18,0.62,1.53,3034,ohc,four,141,mpfi,3.78,3.15,9.5,114.0,5400.0,10.22,8.39,13415.0,Low,0,1
-2,103.0,volvo,four,sedan,rwd,front,104.3,1.18,0.62,0.99,2935,ohc,four,141,mpfi,3.78,3.15,9.5,114.0,5400.0,9.79,8.39,15985.0,Low,0,1
-1,74.0,volvo,four,wagon,rwd,front,104.3,1.18,0.62,1.53,3042,ohc,four,141,mpfi,3.78,3.15,9.5,114.0,5400.0,9.79,8.39,16515.0,Low,0,1
-2,103.0,volvo,four,sedan,rwd,front,104.3,1.18,0.62,0.99,3045,ohc,four,130,mpfi,3.62,3.15,7.5,162.0,5100.0,13.82,10.68,18420.0,Medium,0,0
-1,74.0,volvo,four,wagon,rwd,front,104.3,1.18,0.62,1.53,3157,ohc,four,130,mpfi,3.62,3.15,7.5,162.0,5100.0,13.82,10.68,18950.0,Medium,0,0
-1,95.0,volvo,four,sedan,rwd,front,109.1,1.18,1.43,0.71,2952,ohc,four,141,mpfi,3.78,3.15,9.5,114.0,5400.0,10.22,8.39,16845.0,Low,0,1
-1,95.0,volvo,four,sedan,rwd,front,109.1,1.18,1.39,0.71,3049,ohc,four,141,mpfi,3.78,3.15,8.7,160.0,5300.0,12.37,9.4,19045.0,Medium,0,0
-1,95.0,volvo,four,sedan,rwd,front,109.1,1.18,1.43,0.71,3012,ohcv,six,173,mpfi,3.58,2.87,8.8,134.0,5500.0,13.06,10.22,21485.0,Medium,0,1
-1,95.0,volvo,four,sedan,rwd,front,109.1,1.18,1.43,0.71,3217,ohc,six,145,idi,3.01,3.4,23.0,106.0,4800.0,9.04,8.7,22470.0,Low,1,0
-1,95.0,volvo,four,sedan,rwd,front,109.1,1.18,1.43,0.71,3062,ohc,four,141,mpfi,3.78,3.15,9.5,114.0,5400.0,12.37,9.4,22625.0,Low,0,0
